kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"403879","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",19/06/2023,715000
"427618","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",16/05/2023,5440000
"427618","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",02/02/2023,54
"403837","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/08/2023,3594934
"239188","032","03212","424112","0000000","0000","000","0","F","0","00000001","0000","2",24/05/2023,280449100
"239188","032","03212","424112","0000000","0000","000","0","F","0","00000001","0000","2",03/03/2023,580490200
"239188","032","03212","424929","0000000","0000","000","0","F","0","00000001","0000","2",03/03/2023,5800000
"237373","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",06/03/2023,212420
"403875","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",22/05/2023,100000
"403827","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",30/05/2023,5000000
"403828","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",05/01/2023,122194000
"427511","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",27/03/2023,10192000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",06/06/2023,2850000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",08/02/2023,32625000
"238010","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",30/05/2023,2298000
"239260","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/06/2023,1384614
"403833","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",15/06/2023,1190000
"427573","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2023,1279926
"403823","032","03212","425122","0000000","0000","000","0","D","0","00000001","0000","2",19/05/2023,125000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",27/02/2023,600000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",06/02/2023,3300000
"427582","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",10/05/2023,4999800
"403839","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",05/01/2023,3300000
"238755","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",30/03/2023,67200000
"427618","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/06/2023,1527990
"403837","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",29/05/2023,250000
"403837","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",17/06/2023,130000
"403837","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",10/05/2023,570000
"403837","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",28/02/2023,6400000
"238762","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",24/07/2023,85200000
"239188","032","03212","424929","0000000","0000","000","0","F","0","00000001","0000","2",31/03/2023,2000000
"440013","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",09/04/2023,800000
"440013","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",17/03/2023,900000
"440013","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",27/03/2023,2200000
"440013","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/03/2023,108500
"440013","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",29/03/2023,1100000
"403827","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",07/03/2023,19800000
"403828","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",08/06/2023,810000
"622035","032","03212","424112","0000000","0000","000","0","F","0","00000001","0000","2",28/02/2023,9200000
"427511","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",28/02/2023,1050000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",04/01/2023,450000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",09/03/2023,1350000
"239260","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/04/2023,1384614
"238010","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",21/07/2023,5500000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",16/03/2023,760000
"403839","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/08/2023,1699043
"427618","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",17/04/2023,600000
"238762","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",13/04/2023,32800000
"352595","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",31/05/2023,460000
"239188","032","03212","424113","0000000","0000","000","0","F","0","00000001","0000","2",27/06/2023,5123500
"239188","032","03212","424113","0000000","0000","000","0","F","0","00000001","0000","2",25/07/2023,46765507
"403875","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",01/03/2023,300000
"440013","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",28/03/2023,1400000
"403827","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",27/02/2023,5000000
"403828","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",12/05/2023,1130000
"622035","032","03212","424112","0000000","0000","000","0","F","0","00000001","0000","2",05/06/2023,15746000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",20/02/2023,1500000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",10/05/2023,450000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",05/03/2023,1200000
