kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"237373","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","0354","2",01/05/2023,59286000
"239188","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","0354","2",26/05/2023,137058
"237373","032","03212","512411","03212WA","2378","EBA","2","A","0","00000001","0354","2",07/06/2023,150063852
"239188","032","03212","511611","03212WA","2378","EBA","2","A","0","00000001","0354","2",05/06/2023,177990000
"239188","032","03212","512414","03212WA","2378","EBA","2","A","0","00000001","0354","2",05/06/2023,137854500
"239188","032","03212","524111","03212WA","2378","EBD","2","A","0","00000001","0354","2",12/06/2023,4761500
"239188","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","0354","2",14/06/2023,5874000
"239188","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","0354","2",08/06/2023,3983962
"239188","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0354","2",01/07/2023,30654730
"237373","032","03212","524111","03212DL","2376","SAC","2","A","0","00000001","0354","2",03/07/2023,7564500
"237373","032","03212","523121","03212DL","2376","SAC","2","A","0","00000001","0354","2",03/07/2023,9000000
"237373","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","0354","2",17/07/2023,23426700
"239188","032","03212","521213","03212WA","2378","EBA","2","A","0","00000001","0354","2",12/07/2023,680000
"239188","032","03212","511625","03212WA","2378","EBA","2","A","0","00000001","0354","2",01/08/2023,12311400
"239188","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","0354","2",25/07/2023,167118000
"403875","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","0953","2",01/02/2023,130478
"403875","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0953","2",01/02/2023,1240
"403875","032","03212","523129","03212WA","2378","EBA","2","A","0","00000001","0953","2",27/01/2023,11726880
"403875","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","0953","2",21/02/2023,24258850
"403875","032","03212","523129","03212WA","2378","EBA","2","A","0","00000001","0953","2",21/02/2023,2254599
"403875","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","0953","2",27/02/2023,22688845
"403875","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0953","2",01/05/2023,2277998
"403875","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","0953","2",01/05/2023,540000
"403875","032","03212","521219","03212DL","2376","SAC","2","A","0","00000001","0953","2",22/05/2023,22868991
"403875","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","0953","2",29/05/2023,4089600
"403875","032","03212","521114","03212WA","2378","EBA","2","A","0","00000001","0953","2",13/06/2023,30000
"403875","032","03212","524113","03212WA","2378","EBD","2","A","0","00000001","0953","2",21/06/2023,450000
"403875","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","0953","2",01/07/2023,8380160
"403875","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","0953","2",24/07/2023,2405163
"238741","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0751","2",20/01/2023,983000
"238741","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0751","2",01/01/2023,29291190
"238741","032","03212","511625","03212WA","2378","EBA","2","A","0","00000001","0751","2",01/01/2023,10428480
"238741","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","0751","2",26/01/2023,414614
"238741","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0751","2",30/01/2023,103100
"238741","032","03212","521211","03212DL","2375","SCC","2","A","0","00000001","0751","2",21/02/2023,113396000
"238741","032","03212","521811","03212WA","2378","EBD","2","A","0","00000001","0751","2",28/02/2023,1407000
"238741","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","0751","2",02/03/2023,103600
"238741","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","0751","2",13/03/2023,29357000
"238741","032","03212","511619","03212WA","2378","EBA","2","A","0","00000001","0751","2",05/04/2023,2650
"238741","032","03212","511622","03212WA","2378","EBA","2","A","0","00000001","0751","2",01/04/2023,2669850
"238741","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0751","2",31/03/2023,364200
"238741","032","03212","521811","03212WA","2378","EBA","2","A","0","00000001","0751","2",28/04/2023,4700000
"238741","032","03212","521211","03212DL","2375","QDD","2","A","0","00000001","0751","2",16/05/2023,262500
"238741","032","03212","524111","03212WA","2378","EBD","2","A","0","00000001","0751","2",16/05/2023,190000
"238741","032","03212","521114","03212WA","2378","EBA","2","A","0","00000001","0751","2",31/05/2023,67000
"238741","032","03212","523133","03212WA","2378","EBA","2","A","0","00000001","0751","2",19/06/2023,3027300
"238741","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0751","2",13/06/2023,32282
"238741","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","0751","2",14/06/2023,712440
"238741","032","03212","521811","03212DL","2375","QDD","2","A","0","00000001","0751","2",27/06/2023,1531000
"238741","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","0751","2",01/08/2023,1310504
"440013","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","2202","2",01/02/2023,540000
"440013","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","2202","2",03/02/2023,5748700
"403827","032","03212","522113","03212WA","2378","EBA","2","A","0","00000001","2201","2",03/02/2023,2749000
"403827","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","2201","2",03/02/2023,33426000
"403827","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","2201","2",10/01/2023,933990
"403827","032","03212","524114","03212WA","2378","EBD","2","A","0","00000001","2201","2",28/02/2023,600000
"403827","032","03212","521213","03212WA","2378","EBA","2","A","0","00000001","2201","2",28/02/2023,680000
"440013","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","2202","2",01/03/2023,540000
"403827","032","03212","521213","03212DL","2375","QDD","2","A","0","00000001","2201","2",17/04/2023,2465219
"440013","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","2202","2",01/04/2023,8020180
"440013","032","03212","511151","03212WA","2378","EBA","2","A","0","00000001","2202","2",01/04/2023,555000
"403827","032","03212","511621","03212WA","2378","EBA","2","A","0","00000001","2201","2",01/04/2023,5636350
"403827","032","03212","521213","03212DL","2375","QDD","2","A","0","00000001","2201","2",21/03/2023,2465219
"403827","032","03212","522113","03212WA","2378","EBA","2","A","0","00000001","2201","2",21/03/2023,3982500
"403827","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","2201","2",21/03/2023,57173475
"440013","032","03212","521211","03212DL","2376","QDD","2","A","0","00000001","2202","2",20/03/2023,24500000
"403827","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","2201","2",30/05/2023,9230000
"403827","032","03212","524111","03212DL","2375","QDD","2","A","0","00000001","2201","2",30/05/2023,11025200
"403827","032","03212","511124","03212WA","2378","EBA","2","A","0","00000001","2201","2",01/08/2023,230141000
"403827","032","03212","511611","03212WA","2378","EBA","2","A","0","00000001","2201","2",01/08/2023,91961500
"403827","032","03212","524111","03212DL","2375","QDD","2","A","0","00000001","2201","2",27/06/2023,5900000
"403827","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","2201","2",27/06/2023,49664000
"403827","032","03212","521811","03212WA","2378","EBA","2","A","0","00000001","2201","2",27/06/2023,28143800
"440013","032","03212","521211","03212DL","2376","SAC","2","A","0","00000001","2202","2",20/07/2023,19314000
"403828","032","03212","521119","03212WA","2378","EBA","2","A","0","00000001","1907","2",21/02/2023,300000
"403828","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","1907","2",02/03/2023,37043714
"403828","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","1907","2",03/03/2023,959740
"403828","032","03212","524111","03212WA","2378","EBC","2","A","0","00000001","1907","2",09/03/2023,1665000
"403828","032","03212","521114","03212WA","2378","EBA","2","A","0","00000001","1907","2",21/03/2023,2357120
"403828","032","03212","522191","03212WA","2378","EBA","2","A","0","00000001","1907","2",17/03/2023,26679763
"403828","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","1907","2",05/04/2023,90018060
"403828","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","1907","2",05/04/2023,46809904
