KDSATKER,KODE_PROGRAM,KODE_KEGIATAN,KODE_OUTPUT,KDIB,VOLUME_OUTPUT,KODE_SUBOUTPUT,VOLUME_SUBOUTPUT,KODE_KOMPONEN,KODE_SUBKOMPONEN,URAIAN_SUBKOMPONEN,KODE_AKUN,KODE_JENIS_BEBAN,KODE_CARA_TARIK,KODE_JENIS_BANTUAN,KODE_REGISTER,HEADER1,HEADER2,KODE_ITEM,NOMOR_ITEM,CONS_ITEM,URAIAN_ITEM,SUMBER_DANA,VOL_KEG_1,SAT_KEG_1,VOL_KEG_2,SAT_KEG_2,VOL_KEG_3,SAT_KEG_3,VOL_KEG_4,SAT_KEG_4,VOLKEG,SATKEG,HARGASAT,TOTAL,KODE_BLOKIR,NILAI_BLOKIR,KODE_STS_HISTORY,POK_NILAI_1,POK_NILAI_2,POK_NILAI_3,POK_NILAI_4,POK_NILAI_5,POK_NILAI_6,POK_NILAI_7,POK_NILAI_8,POK_NILAI_9,POK_NILAI_10,POK_NILAI_11,POK_NILAI_12
626402,DL,2375,AFA,00,9,001,9,051,A,"Penyusunan Kerangka Kualifikasi Nasional Indonesia (KKNI)",521211,A,0,A0,,0,0,1,0,1,Penggandaan,A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,C02,0,83312,83312,83312,83312,83312,83312,83312,83312,83312,83312,166880
626402,DL,2375,AFA,00,9,001,9,051,A,"Penyusunan Kerangka Kualifikasi Nasional Indonesia (KKNI)",521211,A,0,A0,,0,0,2,1,2,"Snack dan Makan Rapat (1 pkt x 20 orang x 4 kali)",A,0,,0,,0,,0,,80,ok,69000,5520000,,0,C02,0,459882,459882,459882,459882,459882,459882,459882,459882,459882,459882,921180
626402,DL,2375,AFA,00,9,001,9,051,A,"Penyusunan Kerangka Kualifikasi Nasional Indonesia (KKNI)",521211,A,0,A0,,0,0,3,2,3,ATK,A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,C02,0,83312,83312,83312,83312,83312,83312,83312,83312,83312,83312,166880
626402,DL,2375,AFA,00,9,001,9,051,A,"Penyusunan Kerangka Kualifikasi Nasional Indonesia (KKNI)",521211,A,0,A0,,0,0,4,3,4,"Bahan Komputer",A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,C02,0,83312,83312,83312,83312,83312,83312,83312,83312,83312,83312,166880
626402,DL,2375,AFA,00,9,001,9,051,A,"Penyusunan Kerangka Kualifikasi Nasional Indonesia (KKNI)",521211,A,0,A0,,0,0,5,4,5,"Perlengkapan Peserta (1 pkt x 40 orang x 1 kali)",A,0,,0,,0,,0,,40,ok,75000,3000000,,0,C02,0,249936,249936,249936,249936,249936,249936,249936,249936,249936,249936,500640
626402,DL,2375,AFA,00,9,001,9,051,B,"Penetapan Standar Kompetensi Kerja Nasional Indonesia (SKKNI)",521211,A,0,A0,,0,0,1,0,10,Penggandaan,A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,C02,0,83312,83312,83312,83312,83312,83312,83312,83312,83312,83312,166880
626402,DL,2375,AFA,00,9,001,9,051,B,"Penetapan Standar Kompetensi Kerja Nasional Indonesia (SKKNI)",521211,A,0,A0,,0,0,2,1,11,"Makan dan snack Rapat (1 pkt x 20 orang x 4 kali)",A,0,,0,,0,,0,,80,ok,69000,5520000,,0,C02,0,459882,459882,459882,459882,459882,459882,459882,459882,459882,459882,921180
626402,DL,2375,AFA,00,9,001,9,051,B,"Penetapan Standar Kompetensi Kerja Nasional Indonesia (SKKNI)",521211,A,0,A0,,0,0,3,2,12,ATK,A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,C02,0,83312,83312,83312,83312,83312,83312,83312,83312,83312,83312,166880
626402,DL,2375,AFA,00,9,001,9,051,B,"Penetapan Standar Kompetensi Kerja Nasional Indonesia (SKKNI)",521211,A,0,A0,,0,0,4,3,13,"Bahan Komputer",A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,C02,0,83312,83312,83312,83312,83312,83312,83312,83312,83312,83312,166880
626402,DL,2375,AFA,00,9,001,9,051,B,"Penetapan Standar Kompetensi Kerja Nasional Indonesia (SKKNI)",521211,A,0,A0,,0,0,5,4,14,"Perlengkapan Peserta (1 pkt x 40 orang x 1 kali)",A,0,,0,,0,,0,,40,ok,75000,3000000,,0,C02,0,249936,249936,249936,249936,249936,249936,249936,249936,249936,249936,500640
626402,DL,2375,AFA,00,9,001,9,051,C,"Pengelolaan Sertifikasi SDM Sektor KP",521211,A,0,A0,,0,0,1,0,19,Penggandaan,A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,C02,0,83312,83312,83312,83312,83312,83312,83312,83312,83312,83312,166880
626402,DL,2375,AFA,00,9,001,9,051,C,"Pengelolaan Sertifikasi SDM Sektor KP",521211,A,0,A0,,0,0,2,1,20,"Snack dan Makan Rapat  (1 pkt x 15 orang x 2 kali)",A,0,,0,,0,,0,,30,ok,69000,2070000,,0,C02,0,172456,172456,172456,172456,172456,172456,172456,172456,172456,172456,345440
626402,DL,2375,AFA,00,9,001,9,051,C,"Pengelolaan Sertifikasi SDM Sektor KP",521211,A,0,A0,,0,0,3,2,21,ATK,A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,C02,0,83312,83312,83312,83312,83312,83312,83312,83312,83312,83312,166880
626402,DL,2375,AFA,00,9,001,9,051,C,"Pengelolaan Sertifikasi SDM Sektor KP",521211,A,0,A0,,0,0,4,3,22,"Bahan Komputer",A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,C02,0,83312,83312,83312,83312,83312,83312,83312,83312,83312,83312,166880
626402,DL,2375,AFA,00,9,001,9,051,D,"Standardisasi Lembaga Pelatihan KP",521211,A,0,A0,,0,0,1,0,24,Penggandaan,A,0,,0,,0,,0,,2,pkt,1000000,2000000,,0,C02,0,166624,166624,166624,166624,166624,166624,166624,166624,166624,166624,333760
626402,DL,2375,AFA,00,9,001,9,051,D,"Standardisasi Lembaga Pelatihan KP",521211,A,0,A0,,0,0,2,1,25,"Snack dan Makan Rapat (2 pkt x 20 Org x 4 Kali)",A,0,,0,,0,,0,,160,ok,69000,11040000,,0,C02,0,919764,919764,919764,919764,919764,919764,919764,919764,919764,919764,1842360
626402,DL,2375,AFA,00,9,001,9,051,D,"Standardisasi Lembaga Pelatihan KP",521211,A,0,A0,,0,0,3,2,26,ATK,A,0,,0,,0,,0,,2,pkt,1000000,2000000,,0,C02,0,166624,166624,166624,166624,166624,166624,166624,166624,166624,166624,333760
626402,DL,2375,AFA,00,9,001,9,051,D,"Standardisasi Lembaga Pelatihan KP",521211,A,0,A0,,0,0,4,3,27,"Bahan Komputer",A,0,,0,,0,,0,,2,pkt,1000000,2000000,,0,C02,0,166624,166624,166624,166624,166624,166624,166624,166624,166624,166624,333760
626402,DL,2375,AFA,00,9,001,9,051,E,"Penjaminan Mutu Program Diklat Bidang KP",521211,A,0,A0,,0,0,1,0,33,ATK,A,0,,0,,0,,0,,2,pkt,1000000,2000000,,0,C02,0,166624,166624,166624,166624,166624,166624,166624,166624,166624,166624,333760
626402,DL,2375,AFA,00,9,001,9,051,E,"Penjaminan Mutu Program Diklat Bidang KP",521211,A,0,A0,,0,0,2,1,34,"Bahan Komputer",A,0,,0,,0,,0,,2,pkt,1000000,2000000,,0,C02,0,166624,166624,166624,166624,166624,166624,166624,166624,166624,166624,333760
626402,DL,2375,AFA,00,9,001,9,051,E,"Penjaminan Mutu Program Diklat Bidang KP",521211,A,0,A0,,0,0,3,2,35,Penggandaan,A,0,,0,,0,,0,,2,PKT,1000000,2000000,,0,C02,0,166624,166624,166624,166624,166624,166624,166624,166624,166624,166624,333760
626402,DL,2375,AFA,00,9,001,9,051,E,"Penjaminan Mutu Program Diklat Bidang KP",521211,A,0,A0,,0,0,4,3,36,"Snack dan Makan Rapat (15 org x 3 pkt x 4 kali)",A,0,,0,,0,,0,,180,ok,69000,12420000,,0,C02,0,1034735,1034735,1034735,1034735,1034735,1034735,1034735,1034735,1034735,1034735,2072650
626402,DL,2375,AFA,00,9,001,9,052,A,"Penyusunan Kurikulum Pelatihan Aparatur Kelautan dan Perikanan",521211,A,0,A0,,0,0,1,0,40,ATK,A,0,,0,,0,,0,,1,pkt,1405000,1405000,,0,C02,0,117073,117073,117073,117073,117073,234147,117073,117073,117073,117073,117196
626402,DL,2375,AFA,00,9,001,9,052,A,"Penyusunan Kurikulum Pelatihan Aparatur Kelautan dan Perikanan",521211,A,0,A0,,0,0,2,1,41,"Bahan Komputer",A,0,,0,,0,,0,,1,pkt,1500000,1500000,,0,C02,0,124989,124989,124989,124989,124989,249979,124989,124989,124989,124989,125120
626402,DL,2375,AFA,00,9,001,9,052,A,"Penyusunan Kurikulum Pelatihan Aparatur Kelautan dan Perikanan",521211,A,0,A0,,0,0,3,2,42,"Konsumsi Rapat Penyusunan GBPP (20 Org x 6 Paket x 1 kali)",A,0,,0,,0,,0,,120,ok,75000,9000000,,0,C02,0,749937,749937,749937,749937,749937,1499874,749937,749937,749937,749937,750693
626402,DL,2375,AFA,00,9,001,9,052,B,"Pembahasan Modul Pelatihan Aparatur Kelautan dan Perikanan",521211,A,0,A0,,0,0,1,0,43,ATK,A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,C02,0,83326,83326,83326,83326,83326,166653,83326,83326,83326,83326,83413
626402,DL,2375,AFA,00,9,001,9,052,B,"Pembahasan Modul Pelatihan Aparatur Kelautan dan Perikanan",521211,A,0,A0,,0,0,2,1,44,"Bahan Komputer",A,0,,0,,0,,0,,1,pkt,1500000,1500000,,0,C02,0,124989,124989,124989,124989,124989,249979,124989,124989,124989,124989,125120
626402,DL,2375,AFA,00,9,001,9,052,B,"Pembahasan Modul Pelatihan Aparatur Kelautan dan Perikanan",521211,A,0,A0,,0,0,3,2,45,"Konsumsi Rapat Penyusunan Modul (15 Org x 4 paket x 2 kali)",A,0,,0,,0,,0,,120,ok,75000,9000000,,0,C02,0,749937,749937,749937,749937,749937,1499874,749937,749937,749937,749937,750693
626402,DL,2375,AFA,00,9,001,9,052,B,"Pembahasan Modul Pelatihan Aparatur Kelautan dan Perikanan",521211,A,0,A0,,0,0,4,3,46,"Pencetakan Modul",A,0,,0,,0,,0,,200,eks,50000,10000000,,0,C02,0,833263,833263,833263,833263,833263,1666527,833263,833263,833263,833263,834106
626402,DL,2375,AFA,00,9,001,9,052,C,"Penyusunan Kurikulum Pelatihan Masyarakat Kelautan dan Perikanan",521211,A,0,A0,,0,0,1,0,52,ATK,A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,C02,0,83326,83326,83326,83326,83326,166653,83326,83326,83326,83326,83413
626402,DL,2375,AFA,00,9,001,9,052,C,"Penyusunan Kurikulum Pelatihan Masyarakat Kelautan dan Perikanan",521211,A,0,A0,,0,0,2,1,53,"Bahan Komputer",A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,C02,0,83326,83326,83326,83326,83326,166653,83326,83326,83326,83326,83413
626402,DL,2375,AFA,00,9,001,9,052,C,"Penyusunan Kurikulum Pelatihan Masyarakat Kelautan dan Perikanan",521211,A,0,A0,,0,0,3,2,54,"Snack Rapat Penyusunan Kurikulum (15 Org x 3 paket x 1 kali)",A,0,,0,,0,,0,,45,ok,75000,3375000,,0,C02,0,281226,281226,281226,281226,281226,562453,281226,281226,281226,281226,281513
